Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Venture Round - Lucideus,https://www.crunchbase.com/funding_round/lucideus-series-unknown--002d712b,Lucideus,https://www.crunchbase.com/organization/lucideus,Venture - Series Unknown,5000000,USD,5000000,2018-10-29,John Chambers
Seed Round - KZen Networks,https://www.crunchbase.com/funding_round/kzen-networks-seed--23eace4d,KZen Networks,https://www.crunchbase.com/organization/kzen-networks,Seed,4000000,USD,4000000,2018-10-02,"Benson Oak Ventures, BlockNation, Elron Electronic Industries, FJ Labs, Jean-David Blanc, Jonathan Smith, Pierre Kosciusko-Morizet, Samsung NEXT"
Series A - Automox,https://www.crunchbase.com/funding_round/automox-series-a--fac41ab1,Automox,https://www.crunchbase.com/organization/automox,Series A,9300000,USD,9300000,2018-11-13,"Blue Note Ventures, CRV, TechOperators, Tom Noonan"
Seed Round - Wootcloud,https://www.crunchbase.com/funding_round/wootcloud-seed--bee67be7,Wootcloud,https://www.crunchbase.com/organization/wootcloud,Seed,2800000,USD,2800000,2017-08-31,"Clear Ventures, Nexus Venture Partners"
Venture Round - Garrison Technology,https://www.crunchbase.com/funding_round/garrison-technology-series-unknown--557182e0,Garrison Technology,https://www.crunchbase.com/organization/garrison-technology,Venture - Series Unknown,,,,2018-01-25,Upscale
Venture Round - Garrison Technology,https://www.crunchbase.com/funding_round/garrison-technology-series-unknown--63375fe3,Garrison Technology,https://www.crunchbase.com/organization/garrison-technology,Venture - Series Unknown,,,,2019-03-27,Future Fifty
Series A - Very Good Security,https://www.crunchbase.com/funding_round/very-good-security-series-a--520f1b54,Very Good Security,https://www.crunchbase.com/organization/very-good-security,Series A,8500000,USD,8500000,2018-08-28,"Andreessen Horowitz, Eric Glyman, Karim Atiyeh, Max Levchin, Nyca Partners, Slow Ventures, Vertex Ventures"
Series A - Stateless,https://www.crunchbase.com/funding_round/stateless-inc-series-a--0095b609,Stateless,https://www.crunchbase.com/organization/stateless-inc,Series A,11330000,USD,11330000,2019-01-30,"Drive Capital, Speedinvest"
Series B - BitGo,https://www.crunchbase.com/funding_round/bitgo-series-b--2cdd25e7,BitGo,https://www.crunchbase.com/organization/bitgo,Series B,57500000,USD,57500000,2017-12-11,"Bill Lee, Craft Ventures, David Sacks, Digital Currency Group, DRW, Galaxy Digital LP, Goldman Sachs Principal Strategic Investments, Redpoint, Valor Equity Partners"
Series B - UBiqube,https://www.crunchbase.com/funding_round/ubiqube-series-b--43a69e58,UBiqube,https://www.crunchbase.com/organization/ubiqube,Series B,20000000,USD,20000000,2019-04-10,NTT Comware
Private Equity Round - Lightspeed Systems,https://www.crunchbase.com/funding_round/lightspeed-systems-private-equity--a0924507,Lightspeed Systems,https://www.crunchbase.com/organization/lightspeed-systems,Private Equity,,,,2019-03-29,Madison Dearborn Partners
Series B - Terbium Labs,https://www.crunchbase.com/funding_round/terbium-labs-series-b--fe30f303,Terbium Labs,https://www.crunchbase.com/organization/terbium-labs,Series B,2000000,USD,2000000,2019-03-25,Omidyar Network
Seed Round - NuID,https://www.crunchbase.com/funding_round/nuid-inc-seed--8034abe1,NuID,https://www.crunchbase.com/organization/nuid-inc,Seed,2500000,USD,2500000,2018-12-13,"8VC, Jemison Investment Company, Kairos"
Grant - L7 Defense,https://www.crunchbase.com/funding_round/l7-defense-grant--78919bb6,L7 Defense,https://www.crunchbase.com/organization/l7-defense,Grant,71429,EUR,83304,2018-08-01,EASME - EU Executive Agency for SMEs
