Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series B - BitTitan,https://www.crunchbase.com/funding_round/bittitan-2-series-b--1d71d3b7,BitTitan,https://www.crunchbase.com/organization/bittitan-2,Series B,,,,2019-07-17,Vistara Capital Partners
Series A - DefenseStorm,https://www.crunchbase.com/funding_round/praesidio-inc--series-a--2768f1bc,DefenseStorm,https://www.crunchbase.com/organization/praesidio-inc-,Series A,15000000,USD,15000000,2019-07-15,Georgian Partners
Angel Round - WizCounsel,https://www.crunchbase.com/funding_round/wizcounsel-angel--35cdd0f5,WizCounsel,https://www.crunchbase.com/organization/wizcounsel,Angel,10000000,INR,145031,2019-06-28,"Kapil Dev, Manas Fuloria, Sunil Kumar Gupta"
Venture Round - Crypta Labs,https://www.crunchbase.com/funding_round/crypta-labs-series-unknown--dfa9c498,Crypta Labs,https://www.crunchbase.com/organization/crypta-labs,Venture - Series Unknown,1900000,EUR,2143484,2019-07-12,Bloc Ventures
Debt Financing - Crypta Labs,https://www.crunchbase.com/funding_round/crypta-labs-debt-financing--98fa7c01,Crypta Labs,https://www.crunchbase.com/organization/crypta-labs,Debt Financing,1100000,EUR,1240964,2019-07-12,Innovate UK
Seed Round - Identiq,https://www.crunchbase.com/funding_round/identiq-seed--1483b500,Identiq,https://www.crunchbase.com/organization/identiq,Seed,5000000,USD,5000000,2019-05-28,"Entrée Capital, Oryzn Capital, Slow Ventures, Vertex Ventures Israel"
Series B - enSilo,https://www.crunchbase.com/funding_round/ensilo-series-b--b6ac6adc,enSilo,https://www.crunchbase.com/organization/ensilo,Series B,23500000,USD,23500000,2019-07-11,Rembrandt Venture Partners
Venture Round - Silvan Innovation Labs,https://www.crunchbase.com/funding_round/silvan-series-unknown--64867031,Silvan Innovation Labs,https://www.crunchbase.com/organization/silvan,Venture - Series Unknown,,,,2019-07-10,Samsung Ventures
Series A - Guardknox,https://www.crunchbase.com/funding_round/guardknox-series-a--e18f18b3,Guardknox,https://www.crunchbase.com/organization/guardknox,Series A,21000000,USD,21000000,2019-06-04,"Allied Minds, CyberTech International, Faurecia, Fraser McCombs Capital, Glory Ventures, Kardan, NextLeap Ventures, Plug and Play, SAIC Capital, VectoIQ LLC"
Seed Round - Aegis AI,https://www.crunchbase.com/funding_round/aegis-ai-seed--aeb1aa2f,Aegis AI,https://www.crunchbase.com/organization/aegis-ai,Seed,2200000,USD,2200000,2019-07-01,"Bling Capital, Tensility Venture Partners, Upside Partnership"
Series A - TrueFort,https://www.crunchbase.com/funding_round/truefort-series-a--023f9fad,TrueFort,https://www.crunchbase.com/organization/truefort,Series A,13700000,USD,13700000,2019-06-20,"Emerald Development Managers, Evolution Equity Partners, Great Road Holdings, Lytical Ventures"
Series B - Cyber Observer,https://www.crunchbase.com/funding_round/cyberobserver-series-b--4ef9d49c,Cyber Observer,https://www.crunchbase.com/organization/cyberobserver,Series B,8000000,USD,8000000,2019-06-11,Merlin International
Series C - HanSight,https://www.crunchbase.com/funding_round/hansight-series-c--c44f74e2,HanSight,https://www.crunchbase.com/organization/hansight,Series C,,,,2019-07-05,Qihoo 360 Technology
Venture Round - CyberOwl,https://www.crunchbase.com/funding_round/cyberowl-series-unknown--3d8eed24,CyberOwl,https://www.crunchbase.com/organization/cyberowl,Venture - Series Unknown,1000000,GBP,1274201,2019-06-21,"24 Haymarket, MEIF Proof-of-Concept & Early Stage Fund, Mercia Technologies"
Series A - Vulcan Cyber,https://www.crunchbase.com/funding_round/vulcan-cyber-series-a--85ceff35,Vulcan Cyber,https://www.crunchbase.com/organization/vulcan-cyber,Series A,10000000,USD,10000000,2019-06-26,"TenEleven Ventures, YL Ventures"
Series A - Sweepatic,https://www.crunchbase.com/funding_round/sweepatic-series-a--05be6b20,Sweepatic,https://www.crunchbase.com/organization/sweepatic,Series A,1000000,EUR,1137915,2019-06-28,eCAPITAL entrepreneurial Partners AG
