ID,organization,state,industry,exposure,records
ITRC20170317-04,ADF International,MT,Business,Yes - Published ,303
ITRC20170317-05,Vertex WirelessInc.,AZ,Business,Yes - Published #,1838
ITRC20170317-06,Ameriprise Financial (3/17),MN,Banking/Credit/Financial,Yes - Published ,687
ITRC20170317-07,Colorado Nonprofit Development Center,CO,Business,Yes - Unknown ,Unknown
ITRC20170317-09,Tyler Technologies,TX,Business,Yes - Published ,7788
ITRC20170317-10,QualiChem,VA,Business,Yes - Published ,84
ITRC20170317-11,Local 693 Plumbers & Pipefitters Health & Welfare fun,VT,Business,Yes - Published ,1291
ITRC20170317-13,Berkley Mid-Atlantic Group,VA,Business,Yes - Unknown ,Unknown
ITRC20170317-14,Dairy ManagementInc.,IL,Business,Yes - Unknown #,Unknown
ITRC20170317-15,Toscano Clements Taylor,NY,Business,Yes - Unknown ,Unknown
ITRC20170320-02,American Tire Distributors HoldingsInc.,NC,Business,Yes - Unknown #,Unknown
ITRC20170320-03,Hampton Jitney Inc.,NY,Business,Yes - Unknown ,Unknown
ITRC20170320-04,Campbell Taylor & Company (multiple clients),CA,Business,Yes - Published ,19472
ITRC20170320-05,Defense Point Security,VA,Business,Yes - Unknown ,Unknown
ITRC20170320-06,SolutionsIQInc.,WA,Business,Yes - Unknown #,Unknown
ITRC20170320-07,Biomedical Systems Corp.,MO,Business,Yes - Unknown ,Unknown
ITRC20170321-02,Saks Fifth Avenue,NY,Business,Yes - Unknown ,Unknown
ITRC20170321-04,Select RestaurantsInc.,OH,Business,Yes - Unknown #,Unknown
ITRC20170321-05,Bulletproof 360Inc.,WA,Business,Yes - Published #,28033
ITRC20170321-06,PoliceOne forums,CA,Business,Yes - Unknown ,Unknown
ITRC20170321-07,Rent the Runway,NY,Business,Yes - Unknown ,Unknown
ITRC20170321-08,LYFE Kitchen CompaniesLLC,TN,Business,Yes - Unknown #,Unknown
ITRC20170321-09,Office of Shelia A. Wilson-Alexander,KY,Business,Yes - Unknown ,Unknown
ITRC20170321-10,People for People,WA,Business,Yes - Unknown ,Unknown
ITRC20170321-11,J.N. Phillips CompanyInc.,MA,Business,Yes - Published #,573
ITRC20170321-12,Palm Bay International,NY,Business,Yes - Published ,362
ITRC20170321-13,Coupa,CA,Business,Yes - Unknown ,Unknown
ITRC20170324-01,Schurman Retail Group,CA,Business,Yes - Unknown ,Unknown
ITRC20170324-11,FIRST For the Inspiration and Recognition of Science,NH,Business,Yes - Unknown ,Unknown
ITRC20170324-13,Federal Process Corporation,OH,Business,Yes - Unknown ,Unknown
ITRC20170324-14,Berg LLC,MA,Business,Yes - Unknown ,Unknown
ITRC20170324-15,Bacon & Company CPAsLLC,RI,Business,Yes - Published #,1157
ITRC20170324-17,inTest Corporation / Temptronic Corporation,NJ,Business,Yes - Unknown ,Unknown
ITRC20170324-18,inMomentInc.,UT,Business,Yes - Published #,246
ITRC20170324-19,Maxim Crane Works / Amquip,PA,Business,Yes - Unknown ,Unknown
ITRC20170324-20,netPolarityInc.,CA,Business,Yes - Unknown #,Unknown
ITRC20170324-21,Principal Finacial Group,IA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170324-22,Russell Investments,WA,Business,Yes - Unknown ,Unknown
ITRC20170324-23,RealTruckInc.,ND,Business,Yes - Unknown #,Unknown
ITRC20170324-24,Rand McNally RM Acquisition,IL,Business,Yes - Published ,21237
ITRC20170324-25,Comfort Technology / Therafit Shoes,FL,Business,Yes - Published ,445
ITRC20170324-26,VWSE ProductionsLLC,NY,Business,Yes - Published #,848
ITRC20170327-01,Krystle Property ManagementInc.,CA,Business,Yes - Unknown #,Unknown
ITRC20170328-02,Easy BreatheInc.,CA,Business,Yes - Published #,78759
ITRC20170328-03,Mollie Stone's Markets,CA,Business,Yes - Unknown ,Unknown
ITRC20170328-04,Rudd & Company,ID,Business,Yes - Unknown ,Unknown
ITRC20170328-06,Araca MerchandiseL.P. / The Araca Group,NY,Business,Yes - Published #,551
ITRC20170329-01,Virginia Gift Brands / WoodWick,OH,Business,Yes - Published ,4111
ITRC20170330-01,Quench USA Inc.,PA,Business,Yes - Unknown ,Unknown
ITRC20170330-02,ShowTix4U,NV,Business,Yes - Published ,27833
ITRC20170403-01,Ameriflight,TX,Business,Yes - Published ,876
ITRC20170403-02,Maloney & KennedyPLLC,NH,Business,Yes - Unknown #,Unknown
ITRC20170403-03,Krehbiel and Associates CPA,IL,Business,Yes - Unknown ,Unknown
ITRC20170403-04,Christie's Inc.,NY,Business,Yes - Published ,428
ITRC20170403-05,Great Falls HoldingsInc.,ME,Business,Yes - Unknown #,Unknown
ITRC20170403-06,Hotel Zelos / VHG Fourth Street SFLLC,CA,Business,Yes - Unknown #,Unknown
ITRC20170403-07,Glenn R. MillarCPA PC,AZ,Business,Yes - Published #,1313
ITRC20170403-08,Veolia North America,MA,Business,Yes - Published ,684
ITRC20170404-01,PenServ Plan Services / Security Finance,SC,Business,Yes - Unknown ,Unknown
ITRC20170404-05,Language Services AssociatesInc.,PA,Business,Yes - Published #,1475
ITRC20170405-03,Spaulding Youth Center,NH,Business,Yes - Unknown ,Unknown
ITRC20170405-04,Total Phase,CA,Business,Yes - Unknown ,Unknown
ITRC20170406-01,Scottrade Bank / Genpact,MO,Banking/Credit/Financial,Yes - Published ,8517
ITRC20170406-02,C. Kirk Holt & Associates,UT,Business,Yes - Unknown ,Unknown
